"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Search for a keyword and verify matching cards are shown.","647","TC-06: Search and validate card filter","","Tue Apr 01 12:01:26 UTC 2025","passed","Tue Apr 01 12:01:27 UTC 2025","","tests.JiraBoardTests","tests.JiraBoardTests","testSearchFiltersCards"
"Move a card from Backlog to In Progress and verify the move was successful.","1954","TC-05: Move a card from Backlog to In Progress","","Tue Apr 01 12:01:25 UTC 2025","passed","Tue Apr 01 12:01:26 UTC 2025","","tests.JiraBoardTests","tests.JiraBoardTests","moveCardToAnotherColumn"
"Verify that all 4 Kanban column headers exist on the board.","1106","TC-01: Verify that all 4 Kanban column headers exist on the board","","Tue Apr 01 12:01:17 UTC 2025","passed","Tue Apr 01 12:01:18 UTC 2025","","tests.JiraBoardTests","tests.JiraBoardTests","testColumnTitlesExist"
"Ensure Project name and category can be changed.","792","TC-10: Change project name and category","","Tue Apr 01 12:01:29 UTC 2025","passed","Tue Apr 01 12:01:30 UTC 2025","","tests.JiraBoardTests","tests.JiraBoardTests","testSettingsProjectNameAndCategoryChange"
"Verify that 'Only My Issues' filter reduces the number of visible cards.","629","TC-07: Only My Issues filter","","Tue Apr 01 12:01:27 UTC 2025","passed","Tue Apr 01 12:01:28 UTC 2025","","tests.JiraBoardTests","tests.JiraBoardTests","testOnlyMyIssuesFilter"
"Check that the card count in each column matches the number shown in the header.","2632","TC-02: Verify card counts match header counts in each column","","Tue Apr 01 12:01:18 UTC 2025","passed","Tue Apr 01 12:01:20 UTC 2025","","tests.JiraBoardTests","tests.JiraBoardTests","testCardCountMatchesHeaderInAllColumns"
"Verify sidebar hides when the collapse button is clicked.","685","TC-09: Hide sidebar functionality","","Tue Apr 01 12:01:28 UTC 2025","passed","Tue Apr 01 12:01:29 UTC 2025","","tests.JiraBoardTests","tests.JiraBoardTests","testHideSidebar"
"Create a new Story ticket with highest priority and assign to Spiderman and Thor.","2724","TC-03: Create a new Story ticket","","Tue Apr 01 12:01:20 UTC 2025","passed","Tue Apr 01 12:01:23 UTC 2025","","tests.JiraBoardTests","tests.JiraBoardTests","testCreateStoryTicket"
"Verify that 'Ignore Resolved' filter reduces visible Done cards to 0.","615","TC-08: Ignore Resolved filter","","Tue Apr 01 12:01:28 UTC 2025","passed","Tue Apr 01 12:01:28 UTC 2025","","tests.JiraBoardTests","tests.JiraBoardTests","testIgnoreResolvedFilter"
"Click a card and verify that the detail panel appears.","1461","TC-04: Verify card detail panel visibility","","Tue Apr 01 12:01:23 UTC 2025","passed","Tue Apr 01 12:01:25 UTC 2025","","tests.JiraBoardTests","tests.JiraBoardTests","testClickCardAndVerifyDetailAppears"
